legacy_id,language,trid,source_language
49641,de,19925,
49644,de,19926,
49646,en,19927,
49801,de,19945,
49883,en,19954,
49896,en,19957,
49936,en,19961,
49989,en,19967,
50001,en,19969,
50018,en,19973,
50021,en,19976,
50019,en,19974,
50020,en,19975,
50274,de,19975,en
50143,de,19988,
50188,en,19993,
50272,de,20003,
50298,en,20007,
50339,de,20014,
50344,en,20018,
50416,de,20026,
50437,en,20028,
50470,de,20032,
50473,en,20034,
50488,en,20037,
50536,en,20042,
50651,de,20049,
50656,de,20052,
50707,en,20057,
50765,de,20067,
50767,en,20068,
50843,de,20068,en
50849,de,20077,
51043,en,20127,
52748,ru,20346,
51162,en,20141,
51222,en,20147,
51268,de,20152,
51389,en,20167,
51435,de,20174,
51440,en,20177,
51466,de,20177,en
51452,en,20179,
51648,de,20179,en
51470,en,20184,
51511,de,20189,
51626,en,20203,
51958,de,20203,en
51651,en,20206,
51961,de,20206,en
51703,en,20212,
51741,en,20217,
51774,en,20222,
51964,de,20222,en
51954,de,20241,
52006,en,20247,
52020,de,20247,en
53361,ru,20247,en
53366,ru,20425,
52027,en,20252,
52052,en,20255,
52304,de,20255,en
52119,en,20260,
52250,en,20272,
52264,en,20275,
52319,de,20275,en
52355,de,20288,
52327,en,20283,
52358,de,20290,
52391,en,20293,
52406,en,20297,
52458,de,20297,en
52418,en,20299,
52453,de,20299,en
52463,en,20305,
52483,en,20308,
52497,en,20310,
52548,en,20316,
52630,de,20316,en
52590,en,20320,
52603,en,20322,
52656,en,20329,
52669,en,20331,
52940,de,20331,en
52686,de,20334,
52688,de,20335,
52713,en,20339,
52763,de,20339,en
59228,de,21211,
52772,de,20348,
52790,en,20351,
52896,de,20359,
52858,en,20354,
53102,de,20354,en
53066,en,20389,
53078,en,20391,
53326,en,20419,
53368,en,20426,
53382,en,20428,
53397,en,20431,
53412,de,20435,
53415,en,20436,
53444,en,20439,
53457,en,20441,
53591,de,20441,en
53472,en,20444,
53496,en,20447,
53509,de,20449,
53514,de,20451,
53579,de,20457,
53594,de,20459,
53597,en,20461,
53803,de,20461,en
53667,en,20490,
53852,en,20510,
53821,en,20507,
53887,en,20514,
53929,en,20519,
53951,en,20521,
54056,en,20534,
54076,de,20534,en
54079,en,20538,
54139,en,20544,
54164,en,20548,
54242,en,20558,
54269,en,20566,
54281,en,20568,
54298,en,20574,
54336,en,20578,
54363,de,20578,en
54366,en,20583,
53985,en,20526,
54554,en,20602,
54662,de,20602,en
54591,en,20608,
54665,en,20616,
54678,en,20618,
54692,en,20620,
54706,en,20622,
54790,en,20631,
54750,en,20627,
54804,en,20633,
54827,en,20636,
54861,en,20641,
54946,en,20654,
54972,de,20654,en
54519,en,20598,
54977,en,20658,
55371,de,20658,en
54943,de,20652,
55085,en,20669,
55259,de,20669,en
55121,en,20677,
55109,en,20675,
55241,de,20689,
55263,en,20692,
55332,de,20692,en
55298,en,20696,
55317,en,20699,
55330,en,20701,
55469,en,20717,
55493,en,20720,
55567,en,20729,
55603,de,20729,en
55616,de,20739,
55619,en,20740,
55610,en,20735,
55739,en,20755,
55854,en,20769,
55839,de,20766,
55842,de,20767,
55916,de,20776,
55918,de,20777,
55920,de,20778,
55935,en,20781,
55965,en,20786,
56003,de,20786,en
56007,en,20791,
56070,en,20801,
56098,en,20806,
56148,de,20806,en
56122,en,20810,
56145,de,20810,en
56155,en,20815,
56177,de,20815,en
56184,en,20819,
56208,de,20819,en
56213,en,20824,
56236,en,20828,
56263,de,20833,
56267,en,20834,
56447,de,20834,en
56389,en,20849,
56452,de,20849,en
56686,en,20880,
56711,de,20880,en
56714,de,20884,
56738,en,20887,
56795,de,20894,
56809,en,20894,de
57025,en,20917,
57069,en,20921,
57144,de,20921,en
57148,en,20930,
57164,en,20933,
57438,de,20933,en
57233,en,20941,
57283,en,20947,
57435,de,20947,en
57308,en,20952,
57353,de,20952,en
57324,en,20954,
57360,en,20959,
57432,de,20959,en
57384,en,20963,
57412,de,20963,en
57427,de,20967,
57441,en,20968,
57453,en,20970,
57479,en,20973,
57502,en,20977,
57567,en,20985,
57605,de,20985,en
57582,en,20988,
57608,de,20988,en
57613,de,20993,
57654,de,20998,
57667,en,21001,
57756,de,21001,en
57712,en,21007,
57726,en,21009,
57759,en,21013,
57782,en,21017,
57800,de,21017,en
57804,en,21023,
57843,en,21029,
57909,de,21029,en
57892,en,21034,
57926,en,21039,
57951,de,21039,en
57948,de,21042,
57961,en,21044,
58076,en,21056,
58122,en,21063,
58134,de,21063,en
58277,en,21087,
58136,en,21065,
58150,en,21067,
58163,de,21067,en
58166,en,21070,
58217,de,21070,en
58222,en,21080,
58300,de,21080,en
58235,en,21082,
58258,en,21085,
58317,de,21085,en
58303,en,21091,
58328,de,21091,en
58355,en,21102,
58401,en,21110,
58532,de,21110,en
58392,en,21109,
58524,de,21109,en
58381,en,21107,
58469,de,21117,
58472,en,21118,
58896,de,21118,en
58505,en,21122,
58538,de,21122,en
58465,de,21107,en
58578,de,21127,
58713,de,21138,
58715,en,21139,
58838,de,21139,en
58748,en,21144,
58860,de,21156,
58902,de,21161,
58915,en,21164,
58940,de,21164,en
58788,en,21150,
58943,de,21167,
58957,de,21169,
58846,en,21154,
58995,de,21173,
59004,en,21178,
59156,de,21178,en
59048,en,21185,
59168,en,21202,
59204,de,21202,en
59268,de,21222,
59332,en,21230,
59397,de,21230,en
59363,de,21235,
59370,de,21240,
59383,en,21242,
59471,de,21242,en
59421,de,21248,
59486,zh-hans,21178,en
59484,en,21261,
59687,de,21261,en
59641,en,21282,
59694,de,21282,en
59673,en,21285,
59715,de,21285,en
59713,de,21296,
59721,en,21298,
59733,en,21300,
59768,de,21300,en
59747,de,21303,
59771,en,21308,
59849,de,21308,en
59862,en,21319,
59896,de,21319,en
59900,en,21325,
59966,de,21325,en
60002,de,21336,
60016,en,21340,
60139,de,21340,en
60041,en,21343,
