person_key,canonical_name,honorific,affiliation,country,person_type,aliases,source_refs,occurrences,needs_review,notes,final_action,reviewer
iliad-alexander-terra,Iliad Alexander Terra,,,,speaker,"Iliad Alexander Terra, (U.S.) Founder and President, Council on Global Relations",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
in-south-america,In South America,,,,speaker,"In South America, we see that Argentina has been destroyed, especially since 1982. We see that Bolivia is now in danger ",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
indiana-grain-and-livestock-farmer,Indiana Grain and Livestock Farmer,,,,speaker,"Indiana Grain and Livestock Farmer, State President of Indiana Farmers Union",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
indira-mahajan,Indira Mahajan,,,,speaker,"Indira Mahajan, Soprano",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
international-schiller-institute-conference,International Schiller Institute conference,,,,speaker,International Schiller Institute conference,yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
internationale-konferenz,Internationale Konferenz:,,,,speaker,Internationale Konferenz:,yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
intervention-d-helga-zepp-larouche,Intervention d'Helga Zepp-LaRouche,,,,speaker,"Intervention d'Helga Zepp-LaRouche, présidente de l'Institut Schiller International, lors de la conférence de l'Institut",yt-segmentation,1,1,added by reconcile from video-segmentation,merge:helga-zepp-larouche,mk
intervention-de-leonid-kadyshev,Intervention de Leonid Kadyshev,,,,speaker,"Intervention de Leonid Kadyshev, ministre-conseiller de l'Ambassade de Russie en France, lors de la conférence internati",yt-segmentation,1,1,added by reconcile from video-segmentation,merge:leonid-kadyshev,mk
iv-development,IV. DEVELOPMENT (90 min.),,,,speaker,IV. DEVELOPMENT (90 min.),yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
ivo-christov,Prof. Ivo Christov,,,,speaker,"Prof. Ivo Christov, Member of Bulgarian Parliament",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
jacques-cheminade-l-identite-de-l-europe,Jacques Cheminade - L'identité de l'Europe : l'avantage d'au,,,,speaker,Jacques Cheminade - L'identité de l'Europe : l'avantage d'autrui dans le nouveau paradigme,yt-segmentation,1,1,added by reconcile from video-segmentation,merge:jacques-cheminade,mk
jacques-cheminade-president,Jacques Cheminade (France) President,,,,speaker,"Jacques Cheminade (France) President, Solidarite et Progres",yt-segmentation,1,1,added by reconcile from video-segmentation,merge:jacques-cheminade,mk
jacques-hogard,Colonel Jacques Hogard,,,,speaker,Colonel Jacques Hogard,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
james-george-jatras,James George Jatras,,,,speaker,"James George Jatras, former U.S. diplomat and former advisor to the Republican Senate leadership.",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
